,REF_DATE,GEO,Type of fuel sales,UOM,SCALAR_FACTOR,VALUE
371,1994,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,2125.0
372,1994,Prince Edward Island,Net sales of gasoline,Litres,thousands,182350.0
373,1994,Prince Edward Island,Gross sales of gasoline,Litres,thousands,187334.0
374,1994,Prince Edward Island,Net sales of diesel oil,Litres,thousands,34061.0
375,1994,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,490.0
376,1994,Nova Scotia,Net sales of gasoline,Litres,thousands,1104480.0
377,1994,Nova Scotia,Gross sales of gasoline,Litres,thousands,1167657.0
378,1994,Nova Scotia,Net sales of diesel oil,Litres,thousands,281733.0
379,1994,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,5462.0
380,1994,New Brunswick,Net sales of gasoline,Litres,thousands,1001019.0
381,1994,New Brunswick,Gross sales of gasoline,Litres,thousands,1004792.0
382,1994,New Brunswick,Net sales of diesel oil,Litres,thousands,337180.0
383,1994,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3822.0
384,1994,Quebec,Net sales of gasoline,Litres,thousands,7199940.0
385,1994,Quebec,Gross sales of gasoline,Litres,thousands,7287653.0
386,1994,Quebec,Net sales of diesel oil,Litres,thousands,2394880.0
387,1994,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,2045.0
388,1994,Ontario,Net sales of gasoline,Litres,thousands,12530021.0
389,1994,Ontario,Gross sales of gasoline,Litres,thousands,12764898.0
390,1994,Ontario,Net sales of diesel oil,Litres,thousands,3070400.0
391,1994,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,421200.0
392,1994,Manitoba,Net sales of gasoline,Litres,thousands,1278402.0
393,1994,Manitoba,Gross sales of gasoline,Litres,thousands,1442982.0
394,1994,Manitoba,Net sales of diesel oil,Litres,thousands,387555.0
395,1994,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,18907.0
396,1994,Saskatchewan,Net sales of gasoline,Litres,thousands,1297605.0
397,1994,Saskatchewan,Gross sales of gasoline,Litres,thousands,1605316.0
398,1994,Saskatchewan,Net sales of diesel oil,Litres,thousands,601605.0
399,1994,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,66102.0
400,1994,Alberta,Net sales of gasoline,Litres,thousands,3924600.0
401,1994,Alberta,Gross sales of gasoline,Litres,thousands,4113500.0
402,1994,Alberta,Net sales of diesel oil,Litres,thousands,1526000.0
403,1994,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,383000.0
404,1994,British Columbia,Net sales of gasoline,Litres,thousands,4082964.0
405,1994,British Columbia,Gross sales of gasoline,Litres,thousands,4254591.0
406,1994,British Columbia,Net sales of diesel oil,Litres,thousands,1080544.0
407,1994,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
408,1994,Yukon,Net sales of gasoline,Litres,thousands,66373.0
409,1994,Yukon,Gross sales of gasoline,Litres,thousands,69433.0
410,1994,Yukon,Net sales of diesel oil,Litres,thousands,39501.0
411,1994,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
412,1994,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,37791.0
413,1994,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,70928.0
414,1994,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,31851.0
415,1994,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
416,1995,Canada,Net sales of gasoline,Litres,thousands,33657943.0
417,1995,Canada,Gross sales of gasoline,Litres,thousands,34765828.0
418,1995,Canada,Net sales of diesel oil,Litres,thousands,10533567.0
419,1995,Canada,Net sales of liquefied petroleum gas,Litres,thousands,930337.0
420,1995,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,582317.0
421,1995,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,595362.0
422,1995,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,142912.0
423,1995,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,2548.0
424,1995,Prince Edward Island,Net sales of gasoline,Litres,thousands,183610.0
425,1995,Prince Edward Island,Gross sales of gasoline,Litres,thousands,186700.0
426,1995,Prince Edward Island,Net sales of diesel oil,Litres,thousands,32985.0
427,1995,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,546.0
428,1995,Nova Scotia,Net sales of gasoline,Litres,thousands,1123568.0
429,1995,Nova Scotia,Gross sales of gasoline,Litres,thousands,1138189.0
430,1995,Nova Scotia,Net sales of diesel oil,Litres,thousands,290766.0
431,1995,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,4959.0
432,1995,New Brunswick,Net sales of gasoline,Litres,thousands,1000675.0
433,1995,New Brunswick,Gross sales of gasoline,Litres,thousands,1006162.0
434,1995,New Brunswick,Net sales of diesel oil,Litres,thousands,368065.0
435,1995,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3611.0
436,1995,Quebec,Net sales of gasoline,Litres,thousands,7442203.0
437,1995,Quebec,Gross sales of gasoline,Litres,thousands,7503657.0
438,1995,Quebec,Net sales of diesel oil,Litres,thousands,2602754.0
439,1995,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,1940.0
440,1995,Ontario,Net sales of gasoline,Litres,thousands,12482988.0
441,1995,Ontario,Gross sales of gasoline,Litres,thousands,12775651.0
442,1995,Ontario,Net sales of diesel oil,Litres,thousands,3321300.0
443,1995,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,395300.0
444,1995,Manitoba,Net sales of gasoline,Litres,thousands,1267701.0
445,1995,Manitoba,Gross sales of gasoline,Litres,thousands,1456323.0
446,1995,Manitoba,Net sales of diesel oil,Litres,thousands,404763.0
447,1995,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,20428.0
448,1995,Saskatchewan,Net sales of gasoline,Litres,thousands,1423221.0
449,1995,Saskatchewan,Gross sales of gasoline,Litres,thousands,1561838.0
450,1995,Saskatchewan,Net sales of diesel oil,Litres,thousands,596404.0
451,1995,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,84804.0
452,1995,Alberta,Net sales of gasoline,Litres,thousands,3910900.0
453,1995,Alberta,Gross sales of gasoline,Litres,thousands,4085800.0
454,1995,Alberta,Net sales of diesel oil,Litres,thousands,1555300.0
455,1995,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,416200.0
456,1995,British Columbia,Net sales of gasoline,Litres,thousands,4134983.0
457,1995,British Columbia,Gross sales of gasoline,Litres,thousands,4318614.0
458,1995,British Columbia,Net sales of diesel oil,Litres,thousands,1126368.0
459,1995,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
460,1995,Yukon,Net sales of gasoline,Litres,thousands,68531.0
461,1995,Yukon,Gross sales of gasoline,Litres,thousands,72815.0
462,1995,Yukon,Net sales of diesel oil,Litres,thousands,48013.0
463,1995,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
464,1995,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,37245.0
465,1995,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,64716.0
466,1995,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,43937.0
467,1995,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
468,1996,Canada,Net sales of gasoline,Litres,thousands,33872646.0
469,1996,Canada,Gross sales of gasoline,Litres,thousands,35355189.0
470,1996,Canada,Net sales of diesel oil,Litres,thousands,11097198.0
471,1996,Canada,Net sales of liquefied petroleum gas,Litres,thousands,924874.0
472,1996,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,557149.0
473,1996,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,569668.0
474,1996,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,141611.0
475,1996,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,2842.0
476,1996,Prince Edward Island,Net sales of gasoline,Litres,thousands,187175.0
477,1996,Prince Edward Island,Gross sales of gasoline,Litres,thousands,191567.0
478,1996,Prince Edward Island,Net sales of diesel oil,Litres,thousands,35730.0
479,1996,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,563.0
480,1996,Nova Scotia,Net sales of gasoline,Litres,thousands,1132802.0
481,1996,Nova Scotia,Gross sales of gasoline,Litres,thousands,1145919.0
482,1996,Nova Scotia,Net sales of diesel oil,Litres,thousands,315285.0
483,1996,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,5865.0
484,1996,New Brunswick,Net sales of gasoline,Litres,thousands,1005236.0
485,1996,New Brunswick,Gross sales of gasoline,Litres,thousands,1008484.0
486,1996,New Brunswick,Net sales of diesel oil,Litres,thousands,369005.0
487,1996,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3720.0
488,1996,Quebec,Net sales of gasoline,Litres,thousands,7510245.0
489,1996,Quebec,Gross sales of gasoline,Litres,thousands,7580490.0
490,1996,Quebec,Net sales of diesel oil,Litres,thousands,2697172.0
491,1996,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,2334.0
492,1996,Ontario,Net sales of gasoline,Litres,thousands,12605546.0
493,1996,Ontario,Gross sales of gasoline,Litres,thousands,12888132.0
494,1996,Ontario,Net sales of diesel oil,Litres,thousands,3452600.0
495,1996,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,450500.0
496,1996,Manitoba,Net sales of gasoline,Litres,thousands,1271675.0
497,1996,Manitoba,Gross sales of gasoline,Litres,thousands,1458477.0
498,1996,Manitoba,Net sales of diesel oil,Litres,thousands,435218.0
499,1996,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,20949.0
500,1996,Saskatchewan,Net sales of gasoline,Litres,thousands,1300639.0
501,1996,Saskatchewan,Gross sales of gasoline,Litres,thousands,1609309.0
502,1996,Saskatchewan,Net sales of diesel oil,Litres,thousands,666350.0
503,1996,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,84801.0
504,1996,Alberta,Net sales of gasoline,Litres,thousands,4024600.0
505,1996,Alberta,Gross sales of gasoline,Litres,thousands,4400300.0
506,1996,Alberta,Net sales of diesel oil,Litres,thousands,1711700.0
507,1996,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,353300.0
508,1996,British Columbia,Net sales of gasoline,Litres,thousands,4172348.0
509,1996,British Columbia,Gross sales of gasoline,Litres,thousands,4360595.0
510,1996,British Columbia,Net sales of diesel oil,Litres,thousands,1173583.0
511,1996,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
512,1996,Yukon,Net sales of gasoline,Litres,thousands,69310.0
513,1996,Yukon,Gross sales of gasoline,Litres,thousands,73561.0
514,1996,Yukon,Net sales of diesel oil,Litres,thousands,46158.0
515,1996,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
516,1996,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,35922.0
517,1996,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,68686.0
518,1996,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,52786.0
519,1996,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
520,1997,Canada,Net sales of gasoline,Litres,thousands,34829563.0
521,1997,Canada,Gross sales of gasoline,Litres,thousands,36144051.0
522,1997,Canada,Net sales of diesel oil,Litres,thousands,12189205.0
523,1997,Canada,Net sales of liquefied petroleum gas,Litres,thousands,843316.0
524,1997,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,568234.0
525,1997,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,578707.0
526,1997,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,147363.0
527,1997,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,2807.0
528,1997,Prince Edward Island,Net sales of gasoline,Litres,thousands,190371.0
529,1997,Prince Edward Island,Gross sales of gasoline,Litres,thousands,193578.0
530,1997,Prince Edward Island,Net sales of diesel oil,Litres,thousands,36925.0
531,1997,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,585.0
532,1997,Nova Scotia,Net sales of gasoline,Litres,thousands,1143416.0
533,1997,Nova Scotia,Gross sales of gasoline,Litres,thousands,1164517.0
534,1997,Nova Scotia,Net sales of diesel oil,Litres,thousands,304915.0
535,1997,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,5436.0
536,1997,New Brunswick,Net sales of gasoline,Litres,thousands,983167.0
537,1997,New Brunswick,Gross sales of gasoline,Litres,thousands,988649.0
538,1997,New Brunswick,Net sales of diesel oil,Litres,thousands,391080.0
539,1997,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3476.0
540,1997,Quebec,Net sales of gasoline,Litres,thousands,7552241.0
541,1997,Quebec,Gross sales of gasoline,Litres,thousands,7664448.0
542,1997,Quebec,Net sales of diesel oil,Litres,thousands,2962338.0
543,1997,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,488.0
544,1997,Ontario,Net sales of gasoline,Litres,thousands,13043000.0
545,1997,Ontario,Gross sales of gasoline,Litres,thousands,13356000.0
546,1997,Ontario,Net sales of diesel oil,Litres,thousands,3785600.0
547,1997,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,414700.0
548,1997,Manitoba,Net sales of gasoline,Litres,thousands,1300119.0
549,1997,Manitoba,Gross sales of gasoline,Litres,thousands,1482550.0
550,1997,Manitoba,Net sales of diesel oil,Litres,thousands,435316.0
551,1997,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,17236.0
552,1997,Saskatchewan,Net sales of gasoline,Litres,thousands,1479544.0
553,1997,Saskatchewan,Gross sales of gasoline,Litres,thousands,1586593.0
554,1997,Saskatchewan,Net sales of diesel oil,Litres,thousands,874091.0
555,1997,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,92186.0
556,1997,Alberta,Net sales of gasoline,Litres,thousands,4214800.0
557,1997,Alberta,Gross sales of gasoline,Litres,thousands,4547100.0
558,1997,Alberta,Net sales of diesel oil,Litres,thousands,1969500.0
559,1997,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,306400.0
560,1997,British Columbia,Net sales of gasoline,Litres,thousands,4251691.0
561,1997,British Columbia,Gross sales of gasoline,Litres,thousands,4444947.0
562,1997,British Columbia,Net sales of diesel oil,Litres,thousands,1203370.0
563,1997,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
564,1997,Yukon,Net sales of gasoline,Litres,thousands,67929.0
565,1997,Yukon,Gross sales of gasoline,Litres,thousands,71731.0
566,1997,Yukon,Net sales of diesel oil,Litres,thousands,30746.0
567,1997,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
568,1997,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,35051.0
569,1997,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,65232.0
570,1997,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,47959.0
571,1997,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
572,1998,Canada,Net sales of gasoline,Litres,thousands,35310985.0
573,1998,Canada,Gross sales of gasoline,Litres,thousands,37151638.0
574,1998,Canada,Net sales of diesel oil,Litres,thousands,12117457.0
575,1998,Canada,Net sales of liquefied petroleum gas,Litres,thousands,750533.0
576,1998,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,560892.0
577,1998,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,571420.0
578,1998,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,149750.0
579,1998,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,2726.0
580,1998,Prince Edward Island,Net sales of gasoline,Litres,thousands,196093.0
581,1998,Prince Edward Island,Gross sales of gasoline,Litres,thousands,198383.0
582,1998,Prince Edward Island,Net sales of diesel oil,Litres,thousands,41883.0
583,1998,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,593.0
584,1998,Nova Scotia,Net sales of gasoline,Litres,thousands,1169653.0
585,1998,Nova Scotia,Gross sales of gasoline,Litres,thousands,1242119.0
586,1998,Nova Scotia,Net sales of diesel oil,Litres,thousands,328250.0
587,1998,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,3808.0
588,1998,New Brunswick,Net sales of gasoline,Litres,thousands,1019099.0
589,1998,New Brunswick,Gross sales of gasoline,Litres,thousands,1026426.0
590,1998,New Brunswick,Net sales of diesel oil,Litres,thousands,383899.0
591,1998,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3401.0
592,1998,Quebec,Net sales of gasoline,Litres,thousands,7811707.0
593,1998,Quebec,Gross sales of gasoline,Litres,thousands,7871177.0
594,1998,Quebec,Net sales of diesel oil,Litres,thousands,2990116.0
595,1998,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,0.0
596,1998,Ontario,Net sales of gasoline,Litres,thousands,13060801.0
597,1998,Ontario,Gross sales of gasoline,Litres,thousands,13745331.0
598,1998,Ontario,Net sales of diesel oil,Litres,thousands,3772900.0
599,1998,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,384400.0
600,1998,Manitoba,Net sales of gasoline,Litres,thousands,1261374.0
601,1998,Manitoba,Gross sales of gasoline,Litres,thousands,1437655.0
602,1998,Manitoba,Net sales of diesel oil,Litres,thousands,439040.0
603,1998,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,15120.0
604,1998,Saskatchewan,Net sales of gasoline,Litres,thousands,1316353.0
605,1998,Saskatchewan,Gross sales of gasoline,Litres,thousands,1599962.0
606,1998,Saskatchewan,Net sales of diesel oil,Litres,thousands,774161.0
607,1998,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,62186.0
608,1998,Alberta,Net sales of gasoline,Litres,thousands,4406400.0
609,1998,Alberta,Gross sales of gasoline,Litres,thousands,4743500.0
610,1998,Alberta,Net sales of diesel oil,Litres,thousands,1934600.0
611,1998,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,278300.0
612,1998,British Columbia,Net sales of gasoline,Litres,thousands,4400672.0
613,1998,British Columbia,Gross sales of gasoline,Litres,thousands,4581349.0
614,1998,British Columbia,Net sales of diesel oil,Litres,thousands,1173724.0
615,1998,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
616,1998,Yukon,Net sales of gasoline,Litres,thousands,65435.0
617,1998,Yukon,Gross sales of gasoline,Litres,thousands,68446.0
618,1998,Yukon,Net sales of diesel oil,Litres,thousands,32192.0
619,1998,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
620,1998,Northwest Territories including Nunavut,Net sales of gasoline,Litres,thousands,42506.0
621,1998,Northwest Territories including Nunavut,Gross sales of gasoline,Litres,thousands,65869.0
622,1998,Northwest Territories including Nunavut,Net sales of diesel oil,Litres,thousands,96943.0
623,1998,Northwest Territories including Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
624,1999,Canada,Net sales of gasoline,Litres,thousands,36219491.0
625,1999,Canada,Gross sales of gasoline,Litres,thousands,37912424.0
626,1999,Canada,Net sales of diesel oil,Litres,thousands,12838327.0
627,1999,Canada,Net sales of liquefied petroleum gas,Litres,thousands,551790.0
628,1999,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,587784.0
629,1999,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,601082.0
630,1999,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,167693.0
631,1999,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,2825.0
632,1999,Prince Edward Island,Net sales of gasoline,Litres,thousands,209466.0
633,1999,Prince Edward Island,Gross sales of gasoline,Litres,thousands,211631.0
634,1999,Prince Edward Island,Net sales of diesel oil,Litres,thousands,43448.0
635,1999,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,565.0
636,1999,Nova Scotia,Net sales of gasoline,Litres,thousands,1157551.0
637,1999,Nova Scotia,Gross sales of gasoline,Litres,thousands,1168058.0
638,1999,Nova Scotia,Net sales of diesel oil,Litres,thousands,344394.0
639,1999,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,4415.0
640,1999,New Brunswick,Net sales of gasoline,Litres,thousands,1053862.0
641,1999,New Brunswick,Gross sales of gasoline,Litres,thousands,1059736.0
642,1999,New Brunswick,Net sales of diesel oil,Litres,thousands,474232.0
643,1999,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3596.0
644,1999,Quebec,Net sales of gasoline,Litres,thousands,7717499.0
645,1999,Quebec,Gross sales of gasoline,Litres,thousands,7772208.0
646,1999,Quebec,Net sales of diesel oil,Litres,thousands,3075109.0
647,1999,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,0.0
648,1999,Ontario,Net sales of gasoline,Litres,thousands,13734980.0
649,1999,Ontario,Gross sales of gasoline,Litres,thousands,14374872.0
650,1999,Ontario,Net sales of diesel oil,Litres,thousands,4028500.0
651,1999,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,264453.0
652,1999,Manitoba,Net sales of gasoline,Litres,thousands,1296423.0
653,1999,Manitoba,Gross sales of gasoline,Litres,thousands,1479682.0
654,1999,Manitoba,Net sales of diesel oil,Litres,thousands,457772.0
655,1999,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,15036.0
656,1999,Saskatchewan,Net sales of gasoline,Litres,thousands,1366647.0
657,1999,Saskatchewan,Gross sales of gasoline,Litres,thousands,1617272.0
658,1999,Saskatchewan,Net sales of diesel oil,Litres,thousands,811645.0
659,1999,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,61200.0
660,1999,Alberta,Net sales of gasoline,Litres,thousands,4491300.0
661,1999,Alberta,Gross sales of gasoline,Litres,thousands,4831000.0
662,1999,Alberta,Net sales of diesel oil,Litres,thousands,1973800.0
663,1999,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,199700.0
664,1999,British Columbia,Net sales of gasoline,Litres,thousands,4489276.0
665,1999,British Columbia,Gross sales of gasoline,Litres,thousands,4668249.0
666,1999,British Columbia,Net sales of diesel oil,Litres,thousands,1319012.0
667,1999,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
668,1999,Yukon,Net sales of gasoline,Litres,thousands,67853.0
669,1999,Yukon,Gross sales of gasoline,Litres,thousands,70128.0
670,1999,Yukon,Net sales of diesel oil,Litres,thousands,40410.0
671,1999,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
672,1999,Northwest Territories,Net sales of gasoline,Litres,thousands,39260.0
673,1999,Northwest Territories,Gross sales of gasoline,Litres,thousands,50913.0
674,1999,Northwest Territories,Net sales of diesel oil,Litres,thousands,99851.0
675,1999,Northwest Territories,Net sales of liquefied petroleum gas,Litres,thousands,0.0
676,1999,Nunavut,Net sales of gasoline,Litres,thousands,7591.0
677,1999,Nunavut,Gross sales of gasoline,Litres,thousands,7591.0
678,1999,Nunavut,Net sales of diesel oil,Litres,thousands,2461.0
679,1999,Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
680,2000,Canada,Net sales of gasoline,Litres,thousands,36375338.0
681,2000,Canada,Gross sales of gasoline,Litres,thousands,38176681.0
682,2000,Canada,Net sales of diesel oil,Litres,thousands,13179694.0
683,2000,Canada,Net sales of liquefied petroleum gas,Litres,thousands,445322.0
684,2000,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,574110.0
685,2000,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,595545.0
686,2000,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,186856.0
687,2000,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,2856.0
688,2000,Prince Edward Island,Net sales of gasoline,Litres,thousands,205235.0
689,2000,Prince Edward Island,Gross sales of gasoline,Litres,thousands,208380.0
690,2000,Prince Edward Island,Net sales of diesel oil,Litres,thousands,44756.0
691,2000,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,568.0
692,2000,Nova Scotia,Net sales of gasoline,Litres,thousands,1191306.0
693,2000,Nova Scotia,Gross sales of gasoline,Litres,thousands,1206114.0
694,2000,Nova Scotia,Net sales of diesel oil,Litres,thousands,352916.0
695,2000,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,5075.0
696,2000,New Brunswick,Net sales of gasoline,Litres,thousands,1019441.0
697,2000,New Brunswick,Gross sales of gasoline,Litres,thousands,1047380.0
698,2000,New Brunswick,Net sales of diesel oil,Litres,thousands,453306.0
699,2000,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,3479.0
700,2000,Quebec,Net sales of gasoline,Litres,thousands,7858795.0
701,2000,Quebec,Gross sales of gasoline,Litres,thousands,7928058.0
702,2000,Quebec,Net sales of diesel oil,Litres,thousands,2922047.0
703,2000,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,0.0
704,2000,Ontario,Net sales of gasoline,Litres,thousands,13868131.0
705,2000,Ontario,Gross sales of gasoline,Litres,thousands,14553798.0
706,2000,Ontario,Net sales of diesel oil,Litres,thousands,4335000.0
707,2000,Ontario,Net sales of liquefied petroleum gas,Litres,thousands,177000.0
708,2000,Manitoba,Net sales of gasoline,Litres,thousands,1304807.0
709,2000,Manitoba,Gross sales of gasoline,Litres,thousands,1496909.0
710,2000,Manitoba,Net sales of diesel oil,Litres,thousands,459958.0
711,2000,Manitoba,Net sales of liquefied petroleum gas,Litres,thousands,14051.0
712,2000,Saskatchewan,Net sales of gasoline,Litres,thousands,1292392.0
713,2000,Saskatchewan,Gross sales of gasoline,Litres,thousands,1551799.0
714,2000,Saskatchewan,Net sales of diesel oil,Litres,thousands,833144.0
715,2000,Saskatchewan,Net sales of liquefied petroleum gas,Litres,thousands,79493.0
716,2000,Alberta,Net sales of gasoline,Litres,thousands,4548300.0
717,2000,Alberta,Gross sales of gasoline,Litres,thousands,4856800.0
718,2000,Alberta,Net sales of diesel oil,Litres,thousands,2173500.0
719,2000,Alberta,Net sales of liquefied petroleum gas,Litres,thousands,162800.0
720,2000,British Columbia,Net sales of gasoline,Litres,thousands,4406399.0
721,2000,British Columbia,Gross sales of gasoline,Litres,thousands,4614710.0
722,2000,British Columbia,Net sales of diesel oil,Litres,thousands,1370074.0
723,2000,British Columbia,Net sales of liquefied petroleum gas,Litres,thousands,0.0
724,2000,Yukon,Net sales of gasoline,Litres,thousands,62121.0
725,2000,Yukon,Gross sales of gasoline,Litres,thousands,63661.0
726,2000,Yukon,Net sales of diesel oil,Litres,thousands,43621.0
727,2000,Yukon,Net sales of liquefied petroleum gas,Litres,thousands,0.0
728,2000,Northwest Territories,Net sales of gasoline,Litres,thousands,34431.0
729,2000,Northwest Territories,Gross sales of gasoline,Litres,thousands,43657.0
730,2000,Northwest Territories,Net sales of diesel oil,Litres,thousands,1574.0
731,2000,Northwest Territories,Net sales of liquefied petroleum gas,Litres,thousands,0.0
732,2000,Nunavut,Net sales of gasoline,Litres,thousands,9869.0
733,2000,Nunavut,Gross sales of gasoline,Litres,thousands,9869.0
734,2000,Nunavut,Net sales of diesel oil,Litres,thousands,2942.0
735,2000,Nunavut,Net sales of liquefied petroleum gas,Litres,thousands,0.0
736,2001,Canada,Net sales of gasoline,Litres,thousands,36552556.0
737,2001,Canada,Gross sales of gasoline,Litres,thousands,38126164.0
738,2001,Canada,Net sales of diesel oil,Litres,thousands,13336346.0
739,2001,Canada,Net sales of liquefied petroleum gas,Litres,thousands,398686.0
740,2001,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,580576.0
741,2001,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,605177.0
742,2001,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,182501.0
